,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
sub_0001,11.0996221,1.115741185,1.272095541,3.637428997,3.590173963,3.567099443,4.363706893,1.472140654,9.579794887,8.396753343,0.987648771,13.17793019,9.474043783,6.952829858,14.21776156,9.484396411,7.588773768,1.990567464,7.081171103,7.884734596,1.071651078,2.971878317,3.16061524,0.3663501,0.488658223,0.543173642
sub_0002,13.8474532,1.069455669,1.216203305,3.76309272,3.937384689,4.165839406,4.017074204,1.610747422,10.0992659,9.643323079,1.10633177,14.27982636,11.26620416,7.124199711,14.34604085,9.907670447,7.890488944,2.799566848,9.8408219,9.110662126,1.216406468,4.114905666,4.222313538,0.333123717,0.576583946,0.611941376
sub_0003,11.35505264,1.125102616,1.214215367,3.555397965,3.477897746,3.844383679,4.1521044,1.663425332,9.248374048,8.731997151,0.952251153,13.25393916,8.88912903,6.511493891,13.80790904,8.10284349,9.094821234,2.130603238,8.687939937,7.206290216,0.887309701,3.210819143,3.39473755,0.347829496,0.488362149,0.589945065
sub_0004,13.09618133,1.228873198,1.364071766,3.651485153,4.035547042,3.606675583,3.927538553,1.767668607,10.42724971,9.827371898,1.031126872,13.75719317,10.66279177,8.433073457,13.74479437,10.39371372,8.456562317,2.318746646,8.58102569,9.314658532,1.118692783,4.037589248,3.826676047,0.395391653,0.509593923,0.541761914
sub_0005,11.32133907,1.013723923,1.004911449,3.000253268,3.096148956,3.51400535,3.476380087,1.40978183,8.352064321,8.344381627,0.753352308,12.59748329,7.404462136,6.494413302,13.25355985,6.267472125,7.879294034,1.869482174,5.908015348,5.403434853,0.873904498,3.18664043,3.488606622,0.279574765,0.480190924,0.481557195
sub_0006,10.43193327,1.032146886,1.098432578,3.521149516,4.281342939,3.39894935,3.915621259,1.396974186,10.45935041,8.461322915,0.94367044,12.70315377,8.298975764,5.798113726,13.91310149,9.835170382,7.324441279,2.040987623,9.634229222,7.005814005,0.96265066,3.084910946,3.068631786,0.321388273,0.49759687,0.495224
sub_0007,11.4897348,1.207862099,1.250598683,4.358574612,3.884445126,4.471953841,4.115356873,1.627539922,8.817923671,9.887912815,0.9793615,16.40548706,10.4802234,8.261845684,17.68304923,9.102923649,8.494973995,2.057382002,7.899696348,8.61912303,1.075466179,3.291559637,3.725902645,0.434189472,0.450599623,0.536181911
sub_0008,11.1918058,1.269832035,1.316337008,3.938781534,4.023537075,4.301031069,4.389215327,1.720461779,9.591045455,9.747799277,1.116688604,15.26847948,10.18614343,6.075873746,15.60925759,9.143614704,9.009936845,2.199409659,8.063919402,6.263216699,0.816088019,4.473470486,3.963328474,0.394041729,0.529102652,0.472355028
sub_0009,10.7226516,1.294687686,1.436716741,3.719084999,3.847629349,4.228608786,4.537378126,1.772069033,9.806681788,9.762171176,0.991827071,15.08885248,10.41775245,6.442387069,15.71004081,9.279323734,9.179626703,2.191751713,7.282275099,5.986878949,0.825076971,4.472618803,3.988806536,0.392926729,0.513337025,0.484883124
sub_0010,12.05415315,1.248770045,1.167276902,4.49932094,4.412413821,4.736973533,4.342568809,2.152590013,10.3469498,10.84542551,1.254177613,16.30803418,8.97839142,8.361711986,16.22767146,11.007317,7.378238251,2.241401221,7.116154816,6.397493,1.01380835,4.398719916,4.982540326,0.401170007,0.560556983,0.609965228
sub_0011,12.29375227,1.262004113,1.272751268,4.430488506,4.241496374,3.719591174,3.901314158,1.932982683,11.27151262,11.29658162,1.034345985,14.69673093,10.59023295,7.762127963,13.52175447,10.21836422,7.72523412,2.40589463,8.9723199,9.750097308,0.992074149,4.684094914,4.52126566,0.357173541,0.493365087,0.504423598
sub_0012,12.01158022,1.297641574,1.215438695,4.318232752,4.181941075,4.77677771,4.416572206,2.039141288,10.46233164,10.96986757,1.292115255,16.48531123,9.513518081,7.977131413,16.40533194,11.00142142,7.509695212,2.0920829,7.105846038,6.623752284,1.042635901,4.324088342,4.697038967,0.407981158,0.541090351,0.587795843
sub_0013,13.00020467,1.254254039,1.387894843,3.587736266,4.002866771,3.576434196,3.975683549,1.694978506,10.46699386,9.923782885,1.153649491,13.81522286,10.28329748,8.637201484,13.45137269,10.82670309,8.275662533,2.3139863,8.599300256,9.380207007,1.082232988,3.976933461,3.895013149,0.398424769,0.50880629,0.517924873
sub_0014,11.24680974,1.418880903,1.570262665,4.10546955,4.277661207,4.705781683,4.02478041,1.641469862,9.218375305,9.641595377,1.018025266,16.73265071,10.43349817,6.804550317,16.77839091,8.625823822,8.329798123,1.924046402,7.25739666,6.815735242,0.971254688,4.734249009,4.435433341,0.398453632,0.505012513,0.524872382
sub_0015,11.09250327,1.269188991,1.254981001,4.289622755,4.048435196,4.069903044,4.061529024,1.720791346,11.28602979,10.92480186,1.010738418,14.24076417,11.5650525,6.407569971,14.10911657,9.050529929,8.13619988,2.176444365,5.865273476,6.321627771,0.99332535,4.460824276,4.190680554,0.436443636,0.531013532,0.526760797
sub_0016,10.90384784,1.326322091,1.371417705,3.980292249,4.187274514,4.250458956,3.779312422,1.636120289,8.646627219,8.263519672,1.017731936,12.89968539,10.07272354,7.186441097,13.56241213,10.49390042,7.345112323,1.911994381,8.518269744,8.875973755,0.827136006,3.701477367,3.393697574,0.311795807,0.498810797,0.509725762
sub_0017,10.62722462,1.367767775,1.446062581,4.294811409,4.06429051,4.698997305,5.066247017,1.736622999,12.05367105,10.85813335,1.067555759,13.13160015,10.10668912,6.911157691,14.72134327,8.668466519,8.69384642,2.334533413,8.850361471,8.856129139,0.924963827,3.913398199,3.738603688,0.325422983,0.468620429,0.487300137
sub_0018,11.57468519,1.189629859,1.080854353,4.11759684,4.307919532,3.840874078,3.882321624,1.637837855,8.009438364,8.382950981,1.292694274,14.4841787,9.136044855,6.502444926,14.74611971,7.714248865,7.513860753,2.171975652,8.224297359,7.025296716,0.919050118,3.285595928,3.861651884,0.433888798,0.45194487,0.550224202
sub_0019,11.34394467,1.149086619,1.161499445,3.820766996,3.334141524,3.859435503,4.183679383,1.724492605,7.650874919,8.111963837,1.033080737,12.63313976,10.29111574,6.326576835,12.91774896,9.19281672,7.7150733,1.808479103,8.926455182,8.617853912,0.86798329,2.997994626,2.988599206,0.382642493,0.451041838,0.512045969
sub_0020,7.760526965,1.095650566,1.366778604,4.632747063,4.664480735,4.150687249,4.084046657,1.718565298,10.73056132,9.866604594,0.818223918,12.44734551,8.044686704,6.212797295,15.37012134,7.902989465,6.74797551,1.757814042,6.960624491,4.428192522,0.890797382,3.579998219,4.796355144,0.382071566,0.53025505,0.481358321
sub_0021,10.34949547,0.894843902,0.942364045,3.401883279,3.563275167,3.774210081,3.869133753,1.306337529,7.276048206,7.568960365,0.953177827,12.60261735,7.666753162,7.22459443,12.06083307,6.637010391,7.117741302,1.78876499,5.805939047,6.627027546,0.883105615,2.846729546,2.834200818,0.337237043,0.389865441,0.400797581
sub_0022,11.0586328,1.109872807,1.223901294,3.739402824,3.697276595,3.854208224,3.980030701,1.972400944,9.797142983,9.020677266,0.851734025,15.25136445,8.902532607,5.91089643,15.21351246,7.048817677,6.960516912,2.049928906,6.732760839,6.91031354,0.924118586,3.245462793,2.996065672,0.359313917,0.471066824,0.530136692
sub_0023,12.36216701,1.373675682,1.449735569,4.375387386,4.160682468,3.902094323,4.283961503,1.831493578,11.04249053,11.43081085,1.040199706,15.38145,9.139852652,7.336151927,14.26529608,8.186365379,8.392704959,2.241412856,8.19497277,8.763277148,1.114973431,4.098744312,4.028804267,0.343609943,0.525148586,0.52887816
sub_0024,12.93260955,1.313012011,1.395698237,4.03179413,4.149816859,4.201782759,4.400364755,1.661818467,11.15245614,10.65317067,0.91610286,14.21014559,10.88774149,6.730936589,14.33084592,10.45356488,7.717132528,2.052397491,8.963816601,7.132868967,0.984603024,4.253401088,4.546338471,0.323115394,0.520417021,0.557081402
